x,y,z,faction
-1.4896808862686157,-6.628687381744385,8.163580894470215,faction2
6.3640336990356445,-4.845052242279053,7.83319091796875,faction2
6.460333824157715,-7.437215805053711,8.155113220214844,faction2
-5.408693313598633,-5.958805561065674,-1.5230979919433594,faction1
1.3384897708892822,-3.055622100830078,7.185976982116699,faction2
-4.824422836303711,2.0784268379211426,2.3318400382995605,faction3
3.311948299407959,-3.9183833599090576,13.296228408813477,faction2
-2.893197774887085,-8.277212142944336,-8.150819778442383,faction1
-3.3387773036956787,1.0301955938339233,-1.5978918075561523,faction1
5.83916711807251,-9.017589569091797,3.29775333404541,faction2
-8.820716857910156,4.82444953918457,2.905430316925049,faction3
-1.8972513675689697,-5.9314985275268555,-3.7727322578430176,faction1
-1.1104086637496948,3.365079164505005,3.892047643661499,faction3
-8.3892183303833,-3.8177685737609863,-1.4388554096221924,faction1
-2.371325969696045,0.27626800537109375,3.563758134841919,faction3
-2.584383964538574,2.84279203414917,3.971745729446411,faction3
-2.8603296279907227,-9.335027694702148,2.0904922485351562,faction1
-6.227036952972412,-0.6838058233261108,-0.8174993991851807,faction1
2.900998115539551,-3.3128490447998047,8.122795104980469,faction2
-9.137073516845703,8.270111083984375,10.085760116577148,faction3
-1.1874170303344727,-3.709113359451294,-2.723964214324951,faction1
-2.153388023376465,4.992588520050049,8.435273170471191,faction3
-1.144298791885376,3.1328229904174805,10.28007698059082,faction3
-4.874114036560059,-5.533932685852051,2.320707082748413,faction1
-0.18561649322509766,-5.579644680023193,11.210123062133789,faction2
-8.51867389678955,6.106836318969727,1.1819710731506348,faction3
-8.103221893310547,0.8103669881820679,10.480791091918945,faction3
-0.04005599021911621,-4.825045585632324,10.40218448638916,faction2
-5.009766578674316,7.908166408538818,1.1764135360717773,faction3
3.3194212913513184,-3.961109161376953,6.208346366882324,faction2
-1.4242194890975952,-9.066327095031738,-8.369475364685059,faction1
-0.5724056959152222,5.483545303344727,8.658401489257812,faction3
-4.931573867797852,-4.473989486694336,-1.724698781967163,faction1
0.01904773712158203,-6.972861289978027,-2.151960849761963,faction1
0.6951038837432861,-2.575493812561035,-0.10784387588500977,faction1
-0.0014024972915649414,-5.278609752655029,8.746186256408691,faction2
-5.013782024383545,6.78391170501709,13.065293312072754,faction3
