,object,pos_x,pos_y,pos_z,nor_x,nor_y,nor_z,type
0,sphere,0.29866018891334534,0.16604503989219666,0.4220328629016876,-0.9269636273384094,-0.37340351939201355,-0.03616882115602493,bad
1,sphere,0.013066619634628296,-0.187098890542984,0.30928531289100647,-0.33431223034858704,-0.9185114502906799,0.21112079918384552,bad
2,sphere,0.45566776394844055,0.32361462712287903,0.3744037449359894,0.9621090888977051,0.13761202991008759,-0.23539113998413086,bad
3,sphere,-0.23616662621498108,0.5408962965011597,0.37994566559791565,0.02696455642580986,-0.9559144973754883,0.2924044132232666,bad
4,sphere,-0.24975398182868958,-0.19028761982917786,-0.08190956711769104,0.2692275643348694,-0.8838251233100891,-0.3825828433036804,bad
5,sphere,0.39714089035987854,-0.3926428258419037,0.0008877217769622803,0.5354945659637451,-0.8325701355934143,0.14167793095111847,bad
6,sphere,-0.06676343083381653,0.08401289582252502,0.12490591406822205,0.22397953271865845,-0.8968592882156372,0.38141393661499023,bad
7,sphere,0.392473965883255,0.43650129437446594,-0.020333200693130493,-0.5960057973861694,0.6295112371444702,-0.49849027395248413,bad
8,sphere,0.04635739326477051,-0.0025750398635864258,0.7522302269935608,0.551800012588501,0.8314791321754456,0.06449083983898163,bad
9,sphere,0.2739788293838501,0.38528013229370117,-0.3796921372413635,-0.6410018801689148,-0.4199943244457245,0.6424340605735779,bad
10,sphere,0.07710206508636475,0.6883420348167419,0.20534861087799072,-0.6428760886192322,0.6804199814796448,0.35176557302474976,bad
11,sphere,0.07345569133758545,-0.18979567289352417,-0.04435926675796509,0.5982147455215454,-0.4183204472064972,0.6834816932678223,bad
12,sphere,0.7401900887489319,0.1000819206237793,-0.11885547637939453,0.5832608342170715,-0.7975963950157166,0.1537749022245407,bad
13,sphere,-0.39559775590896606,0.5508908033370972,0.07805562019348145,0.1254739612340927,-0.9516766667366028,0.2802997827529907,bad
14,sphere,0.48629963397979736,0.006181269884109497,0.373217910528183,0.3349103033542633,-0.547335684299469,0.7669802904129028,bad
15,sphere,0.07133260369300842,0.16869401931762695,0.029274076223373413,-0.40535950660705566,0.32262739539146423,0.8553333878517151,bad
16,sphere,-0.05127233266830444,0.3205641806125641,0.6103991270065308,0.3451264798641205,0.9146525263786316,-0.21047216653823853,bad
17,sphere,0.3916650712490082,0.22746491432189941,0.5949318408966064,0.41161617636680603,-0.3405660092830658,0.8453325033187866,bad
18,sphere,0.06431460380554199,0.18617096543312073,-0.3086586892604828,0.3811037242412567,-0.7934908270835876,0.4744810163974762,bad
19,sphere,0.46619686484336853,-0.015717804431915283,-0.468972772359848,0.24522528052330017,-0.3678338825702667,-0.8969742655754089,bad
20,sphere,0.2910224199295044,0.21909448504447937,-0.2294512689113617,0.511038064956665,0.8539031147956848,0.0984354242682457,bad
21,sphere,-0.32728907465934753,0.10202133655548096,-0.0195293128490448,-0.96058189868927,0.277905136346817,0.0071445670910179615,bad
22,sphere,0.4337291419506073,0.602210283279419,0.4579493999481201,0.4949842095375061,-0.8286290168762207,0.26146620512008667,bad
